,name_with_owner,insert url,delete url,replacement_msg,delete_msg,coding,insert commit,insert src file,insert src start pos,insert dst file,insert dst start pos,delete commit,delete src file,delete src start pos,delete dst file,delete dst start pos,insert src file content,insert dst file content,delete src file content
0,kingsamchen_Eureka,https://github.com/kingsamchen/Eureka/commit/16965166a1f6d03434296da844a73fc09b0e0770,https://github.com/kingsamchen/Eureka/commit/a61aa11e56be33dda5cbcbc1f461652515d94a4b,"himsw: basically work
","himsw: use pure win32 gui
",,16965166a1f6d03434296da844a73fc09b0e0770,hey-i-am-still-working/himsw/main.cpp,"(8, 12)",hey-i-am-still-working/himsw/main.cpp,"(45, 34)",a61aa11e56be33dda5cbcbc1f461652515d94a4b,hey-i-am-still-working/himsw/main.cpp,"(90, 23)",hey-i-am-still-working/himsw/main.cpp,,"{
    while (true) {
        himsw::labor_monitor::instance().tick();
        std::this_thread::sleep_for(std::chrono::seconds(60));
    }

    return 0;
}","{
        this->caption(""Hey I AM Still Working"");

        lbl_info_.size(this->size());
        lbl_info_.caption(""monitoring..."");

        timer_.elapse([] {
            himsw::labor_monitor::instance().tick();
        });
        timer_.interval(std::chrono::seconds(30));
        timer_.start();
    }","[] {
            himsw::labor_monitor::instance().tick();
        }"
1,apple_swift,https://github.com/apple/swift/commit/bb067f4d6827f9be36df8779552cfc6c595e1c00,https://github.com/apple/swift/commit/8b926af49a2aad883cb358812aa67137e8199222,"Revert ""EscapeAnalysis: add node flags and change the meaning of ""escaping""""
","EscapeAnalysis: Add PointerKind and interior/reference flags

Categorize three kinds of pointers:

NoPointer (don't create a node)

ReferenceOnly (safe to make normal assumptions)

AnyPointer (may have addresses, rawpointers, or any mix of thoses with references)

Flag ConnectionGraph nodes as
- hasReferenceOnly
- isInterior

An interior node always has an additional content node.

All sorts of arbitrary node merging is supported. Nodes with totally
different properties can be safely merged. Interior nodes can safely
be merged with their field content (which does happen surprisingly
often).

Alias analysis will use these flags to safely make assumptions about
properties of the connection graph.
",,bb067f4d6827f9be36df8779552cfc6c595e1c00,lib/SILOptimizer/Analysis/EscapeAnalysis.cpp,"(914, 3)",lib/SILOptimizer/Analysis/EscapeAnalysis.cpp,"(1570, 3)",8b926af49a2aad883cb358812aa67137e8199222,lib/SILOptimizer/Analysis/EscapeAnalysis.cpp,"(1570, 16)",lib/SILOptimizer/Analysis/EscapeAnalysis.cpp,,"bool contentHasReferenceOnly =
      EA->hasReferenceOnly(addrVal->getType().getObjectType(), *F);","auto hasRC = [&](){
    return mustContainReference(baseAddr->getType(), *F)
      || mustContainReference(addrVal->getType(), *F);
  };","[&](){
    return mustContainReference(baseAddr->getType(), *F)
      || mustContainReference(addrVal->getType(), *F);
  }"
2,apple_swift,https://github.com/apple/swift/commit/9dbd5829debeca41abe8035393ba9f493408c54d,https://github.com/apple/swift/commit/927cf42ba656051cb51007293c19349b60ddd965,"[CodeCompletion] Support type checking attributes even if they are not part of the AST

The code completion might occur inside an attriubte that isn’t part of the AST because it’s missing a `VarDecl` that it could be attached to. In these cases, record the `CustomAttr` and type check it standalone, pretending it was part of a `DeclContext`.

This also fixes a few issues where code completion previously wouldn’t find the attribute constructor call and thus wasn’t providing code completion inside the property wrapper.

rdar://92842803
","[CodeCompletion] Move implementation of solver-based completions to their own functions

This has the benefit that in case of a code completion crash, we can see what kind of completion crashed without having to symbolicate the stack trace using LLDB.

It also made `trySolverCompletion` small enough that we can inline it into `doneParsing`, which makes debugging easier because you won’t accidentally step over the call to `trySolverCompletion`, which actually performs the completion.
",,9dbd5829debeca41abe8035393ba9f493408c54d,lib/IDE/CodeCompletion.cpp,"(1326, 75)",lib/IDE/CodeCompletion.cpp,"(1337, 75)",927cf42ba656051cb51007293c19349b60ddd965,lib/IDE/CodeCompletion.cpp,"(1458, 30)",lib/IDE/CodeCompletion.cpp,,"{
  assert(ParsedExpr || CurDeclContext);

  SourceLoc CompletionLoc = ParsedExpr
    ? ParsedExpr->getLoc()
    : CurDeclContext->getASTContext().SourceMgr.getCodeCompletionLoc();

  switch (Kind) {
  case CompletionKind::DotExpr: {
    assert(CodeCompleteTokenExpr);
    assert(CurDeclContext);

    DotExprTypeCheckCompletionCallback Lookup(CodeCompleteTokenExpr,
                                              CurDeclContext);
    llvm::SaveAndRestore<TypeCheckCompletionCallback*>
      CompletionCollector(Context.CompletionCallback, &Lookup);
    typeCheckContextAt(CurDeclContext, CompletionLoc);

    // This (hopefully) only happens in cases where the expression isn't
    // typechecked during normal compilation either (e.g. member completion in a
    // switch case where there control expression is invalid). Having normal
    // typechecking still resolve even these cases would be beneficial for
    // tooling in general though.
    if (!Lookup.gotCallback())
      Lookup.fallbackTypeCheck(CurDeclContext);

    addKeywords(CompletionContext.getResultSink(), MaybeFuncBody);

    Expr *CheckedBase = CodeCompleteTokenExpr->getBase();
    Lookup.deliverResults(CheckedBase, CurDeclContext, DotLoc,
                          isInsideObjCSelector(), CompletionContext, Consumer);
    return true;
  }","{
  assert(ParsedExpr || CurDeclContext);

  SourceLoc CompletionLoc = ParsedExpr
    ? ParsedExpr->getLoc()
    : CurDeclContext->getASTContext().SourceMgr.getCodeCompletionLoc();

  auto typeCheckWithLookup = [this, &CompletionLoc](
                                 TypeCheckCompletionCallback &Lookup) {
    llvm::SaveAndRestore<TypeCheckCompletionCallback*>
      CompletionCollector(Context.CompletionCallback, &Lookup);
    if (AttrWithCompletion) {
      /// The attribute might not be attached to the AST if there is no var decl
      /// it could be attached to. Type check it standalone.
      ASTNode Call = CallExpr::create(
          CurDeclContext->getASTContext(), AttrWithCompletion->getTypeExpr(),
          AttrWithCompletion->getArgs(), /*implicit=*/true);
      typeCheckContextAt(
          TypeCheckASTNodeAtLocContext::node(CurDeclContext, Call),
          CompletionLoc);
    }","[this, &CompletionLoc](
                                 TypeCheckCompletionCallback &Lookup) {
    llvm::SaveAndRestore<TypeCheckCompletionCallback*>
      CompletionCollector(Context.CompletionCallback, &Lookup);
    if (AttrWithCompletion) {
      /// The attribute might not be attached to the AST if there is no var
      /// decl it could be attached to. Type check it standalone.

      // First try to check it as an attached macro.
      auto resolvedMacro = evaluateOrDefault(
          CurDeclContext->getASTContext().evaluator,
          ResolveMacroRequest{AttrWithCompletion, CurDeclContext},
          ConcreteDeclRef());

      // If that fails, type check as a call to the attribute's type. This is
      // how, e.g., property wrappers are modelled.
      if (!resolvedMacro) {
        ASTNode Call = CallExpr::create(
            CurDeclContext->getASTContext(), AttrWithCompletion->getTypeExpr(),
            AttrWithCompletion->getArgs(), /*implicit=*/true);
        typeCheckContextAt(
            TypeCheckASTNodeAtLocContext::node(CurDeclContext, Call),
            CompletionLoc);
      }
    } else {
      typeCheckContextAt(
          TypeCheckASTNodeAtLocContext::declContext(CurDeclContext),
          CompletionLoc);
    }

    // This (hopefully) only happens in cases where the expression isn't
    // typechecked during normal compilation either (e.g. member completion in a
    // switch case where there control expression is invalid). Having normal
    // typechecking still resolve even these cases would be beneficial for
    // tooling in general though.
    if (!Lookup.gotCallback()) {
      if (Context.TypeCheckerOpts.DebugConstraintSolver) {
        llvm::errs() << ""--- Fallback typecheck for code completion ---\n"";
      }
      Lookup.fallbackTypeCheck(CurDeclContext);
    }
  }"
3,ElunaLuaEngine_ElunaTrinityWotlk,https://github.com/ElunaLuaEngine/ElunaTrinityWotlk/commit/14c2b2d6cd2303609f1a1859e727ace7b8ea649c,https://github.com/ElunaLuaEngine/ElunaTrinityWotlk/commit/3d3d0492ab8dad40d5590e80f45bdfbdbcbe7497,"Core/Spell: added some helpers to SpellInfo to reduce code duplication
","Core/Spells: Check both main and offhand weapons if spell attributes require that (see Stormstrike)

* This restores the check probably unintentionally dropped in 14c2b2d6cd2303609f1a1859e727ace7b8ea649c
* Build fix
",,14c2b2d6cd2303609f1a1859e727ace7b8ea649c,src/server/game/Spells/Spell.cpp,"(6589, 13)",src/server/game/Spells/Spell.cpp,"(6554, 9)",3d3d0492ab8dad40d5590e80f45bdfbdbcbe7497,src/server/game/Spells/Spell.cpp,"(6554, 35)",src/server/game/Spells/Spell.cpp,,Item* item = m_caster->ToPlayer()->GetWeaponForAttack(OFF_ATTACK);,"SpellCastResult itemRes = [this]() -> SpellCastResult
        {
            switch (m_attackType)
            {
                case BASE_ATTACK:
                    // main hand weapon required
                    if (!m_spellInfo->HasAttribute(SPELL_ATTR3_MAIN_HAND))
                        return SPELL_CAST_OK;
                case OFF_ATTACK:
                    // offhand hand weapon required
                    if (!m_spellInfo->HasAttribute(SPELL_ATTR3_REQ_OFFHAND))
                        return SPELL_CAST_OK;
                default:
                    return SPELL_CAST_OK;
            }

            Item const* item = m_caster->ToPlayer()->GetWeaponForAttack(m_attackType);","[this]() -> SpellCastResult
        {
            switch (m_attackType)
            {
                case BASE_ATTACK:
                    // main hand weapon required
                    if (!m_spellInfo->HasAttribute(SPELL_ATTR3_MAIN_HAND))
                        return SPELL_CAST_OK;
                    break;
                case OFF_ATTACK:
                    // offhand hand weapon required
                    if (!m_spellInfo->HasAttribute(SPELL_ATTR3_REQ_OFFHAND))
                        return SPELL_CAST_OK;
                    break;
                default:
                    return SPELL_CAST_OK;
            }

            Item const* item = m_caster->ToPlayer()->GetWeaponForAttack(m_attackType)"
4,apple_swift,https://github.com/apple/swift/commit/0beddca9e93643a245e2b374fa364659ed4d122e,https://github.com/apple/swift/commit/41cdfb04adfe13839af9e9867f775559ee307296,"Unify diagnose invalid attr producing
","Introduce a proper TypeAttribute class hierarchy.

The old TypeAttributes reprsentation wasn't too bad for a small number of
simple attributes.  Unfortunately, the number of attributes has grown over
the years by quite a bit, which makes TypeAttributes fairly bulky even at
just a single SourceLoc per attribute.  The bigger problem is that we want
to carry more information than that on some of these attributes, which is
all super ad hoc and awkward.  And given that we want to do some things
for each attribute we see, like diagnosing unapplied attributes, the linear
data structure does require a fair amount of extra work.

I switched around the checking logic quite a bit in order to try to fit in
with the new representation better.  The most significant change here is the
change to how we handle implicit noescape, where now we're passing the
escaping attribute's presence down in the context instead of resetting the
context anytime we see any attributes at all.  This should be cleaner overall.

The source range changes around some of the @escaping checking is really a
sort of bugfix --- the existing code was really jumping from the @ sign
all the way past the autoclosure keyword in a way that I'm not sure always
works and is definitely a little unintentional-feeling.

I tried to make the parser logic more consistent around recognizing these
parameter specifiers; it seems better now, at least.
",,0beddca9e93643a245e2b374fa364659ed4d122e,lib/Sema/TypeCheckType.cpp,"(2421, 9)",lib/Sema/TypeCheckType.cpp,"(2414, 5)",41cdfb04adfe13839af9e9867f775559ee307296,lib/Sema/TypeCheckType.cpp,"(3376, 38)",lib/Sema/TypeCheckType.cpp,,"auto diag = diagnoseInvalid(repr, attrs.getLoc(i),
                                    diag::escaping_optional_type_argument);","const auto diagnoseInvalidAttr = [&](TypeAttrKind kind) {
      if (kind == TAK_escaping) {
        Type optionalObjectType = ty->getOptionalObjectType();
        if (optionalObjectType && optionalObjectType->is<AnyFunctionType>()) {
          return diagnoseInvalid(repr, attrs.getLoc(kind),
                                 diag::escaping_optional_type_argument);
        }
      }
      return diagnoseInvalid(repr, attrs.getLoc(kind),
                             diag::attribute_requires_function_type,
                             TypeAttributes::getAttrName(kind));
    };","[&](TypeAttrKind kind) {
      if (kind == TAK_escaping) {
        Type optionalObjectType = ty->getOptionalObjectType();
        if (optionalObjectType && optionalObjectType->is<AnyFunctionType>()) {
          return diagnoseInvalid(repr, attrs.getLoc(kind),
                                 diag::escaping_optional_type_argument);
        }
      }
      return diagnoseInvalid(repr, attrs.getLoc(kind),
                             diag::attribute_requires_function_type,
                             TypeAttributes::getAttrName(kind));
    }"
5,apple_swift,https://github.com/apple/swift/commit/10fc3fa54677a7023079f70f0600a209777edffe,https://github.com/apple/swift/commit/3d5ca29993eb4b2f11f502cd0c812d1238a72557,"[GenericSig Builder] Make resolve() less representative-dependent.

`GenericSignatureBuilder::resolve()` was always jumping to the
representative, to treat typealias representatives as
special. However, doing this means that we put the same-type
constraint on the wrong potential archetype (with the wrong source).

Eliminate the use of `getRepresentative()`. This unfortunately
causes us to need recursive resolution, because we can't always depend
on jumping to the representative to avoid it.
","GSB: Dump conformance and same-type requirement sources in EquivalenceClass::dump()
",,10fc3fa54677a7023079f70f0600a209777edffe,lib/AST/GenericSignatureBuilder.cpp,"(902, 3)",lib/AST/GenericSignatureBuilder.cpp,"(900, 3)",3d5ca29993eb4b2f11f502cd0c812d1238a72557,lib/AST/GenericSignatureBuilder.cpp,"(2171, 7)",lib/AST/GenericSignatureBuilder.cpp,,"builder.addSameTypeRequirement(nestedPA, witnessType, source);","builder.addSameTypeRequirement(nestedPA, witnessType, source,
     [&](Type type1, Type type2) {
       builder.getASTContext().Diags.diagnose(
                              source->getLoc(),
                              diag::requires_same_type_conflict,
                              nestedPA->getDependentType(/*FIXME: */{ }, true),
                              type1, type2);
     });","[&](const Constraint<Type> &constraint) {
        out << ""\n  "" << constraint.getSubjectDependentType({})
            << "" == "" << constraint.value;

        if (constraint.source->isDerivedRequirement())
          out << "" [derived]"";
      }"
6,eosforce_eosforce,https://github.com/eosforce/eosforce/commit/4a588b479f292c0b29ecc41f1679f914326f4174,https://github.com/eosforce/eosforce/commit/7a084347167d752c4a9509e79ebad809f398bf75,"Avoid tying up a thread to wait on transaction future. Also removes likely safe but undefined behavior.
","Revert to 1.8.1 version of signature recovery
",,4a588b479f292c0b29ecc41f1679f914326f4174,plugins/producer_plugin/producer_plugin.cpp,"(351, 150)",plugins/producer_plugin/producer_plugin.cpp,"(351, 150)",7a084347167d752c4a9509e79ebad809f398bf75,plugins/producer_plugin/producer_plugin.cpp,"(415, 16)",plugins/producer_plugin/producer_plugin.cpp,,"{
         chain::controller& chain = chain_plug->chain();
         const auto max_trx_time_ms = _max_transaction_time_ms.load();
         fc::microseconds max_trx_cpu_usage = max_trx_time_ms < 0 ? fc::microseconds::maximum() : fc::milliseconds( max_trx_time_ms );
         auto& tp = *_thread_pool;
         // use chain thread pool for sig recovery so that future wait below is not in the same thread pool preventing progress
         transaction_metadata::create_signing_keys_future( trx, tp, chain.get_chain_id(), max_trx_cpu_usage );
         boost::asio::post( tp, [self = this, trx, persist_until_expired, next]() {
            if( trx->signing_keys_future.valid() )
               trx->signing_keys_future.wait();
            app().post(priority::low, [self, trx, persist_until_expired, next]() {
               self->process_incoming_transaction_async( trx, persist_until_expired, next );
            });
         });
      }","{
         chain::controller& chain = chain_plug->chain();
         const auto max_trx_time_ms = _max_transaction_time_ms.load();
         fc::microseconds max_trx_cpu_usage = max_trx_time_ms < 0 ? fc::microseconds::maximum() : fc::milliseconds( max_trx_time_ms );
         auto& tp = *_thread_pool;
         // use chain thread pool for sig recovery so that future wait below is not in the same thread pool preventing progress
         transaction_metadata::create_signing_keys_future( trx, chain.get_thread_pool(), chain.get_chain_id(), max_trx_cpu_usage,
               [self = this, trx, persist_until_expired, next{std::move(next)}","[self = this, trx, persist_until_expired, next{std::move(next)"
7,apple_swift,https://github.com/apple/swift/commit/0a1f7c09dfc4af6b856b45058d20118039ef1b4d,https://github.com/apple/swift/commit/5ead9764bd79b91ec973c4964488330f6aa69958,"Revert ""Fix unreachable code handling to properly diagnose things like:""

This reverts commit 28678.  It broke the IDE/complete_exception.swift
test.

Swift SVN r28679
","Fix unreachable code handling to properly diagnose things like:

  throw x
  whatever()

as being unreachable after the throw.



Swift SVN r28678
",,0a1f7c09dfc4af6b856b45058d20118039ef1b4d,lib/Parse/ParseStmt.cpp,"(650, 3)",lib/Parse/ParseStmt.cpp,"(90, 3)",5ead9764bd79b91ec973c4964488330f6aa69958,lib/Parse/ParseStmt.cpp,"(90, 28)",lib/Parse/ParseStmt.cpp,,SourceLoc throwLoc = consumeToken(tok::kw_throw);,"auto parseTopLevelExpr = [&](Diag<> ID) {
    return (Tok.is(tok::kw_throw) ? parseExprThrow(ID) : parseExpr(ID));
  };","[&](Diag<> ID) {
    return (Tok.is(tok::kw_throw) ? parseExprThrow(ID) : parseExpr(ID));
  }"
8,apple_swift,https://github.com/apple/swift/commit/63dc900f91498a439738dee6de58e55629c01fd0,https://github.com/apple/swift/commit/bfbc6142c16b26c9839f8c5da3e329f1a06ea652,"Pattern processing cleanups, NFC:

Introduce a new Pattern::forEachVariable that takes a lambda and iterates
over all the variables encompassed by the pattern (the ones found by
collectVariables) and runs the lambda on it.

Use this to implement collectVariables, so we only have one copy of the code.

Convert several places to use this, removing a bunch of duplicated code for
walking the pattern structure and extracting decls.

Convert a few uses of collectVariables to forEachVariable, leading to more
clear code without a temporary smallvector.

Remove simplifyPatternTypes in CSApply.cpp, which is dead.



Swift SVN r13545
","rework CleanupIllFormedExpression some more.  It now makes sure to find typevars hiding
withing TypeLocs in expressions as well, and handles closures with a simpler model.



Swift SVN r30026
",,63dc900f91498a439738dee6de58e55629c01fd0,lib/Sema/TypeCheckConstraints.cpp,"(468, 9)",lib/Sema/TypeCheckConstraints.cpp,"(467, 9)",bfbc6142c16b26c9839f8c5da3e329f1a06ea652,lib/Sema/TypeCheckConstraints.cpp,"(838, 45)",lib/Sema/TypeCheckConstraints.cpp,,closure->getParams()->collectVariables(Params);,"closure->getParams()->forEachVariable([&](VarDecl *VD) {
          if (VD->hasType()) {
            Type T = VD->getType();
            if (cs)
              T = cs->simplifyType(T);
            if (T->hasTypeVariable()) {
              T = ErrorType::get(context);
              VD->setInvalid();
            }
            VD->overwriteType(T);
          } else {
            VD->setType(ErrorType::get(context));
            VD->setInvalid();
          }
        });","[&](VarDecl *VD) {
        if (VD->hasType() && !VD->getType()->hasTypeVariable())
          return;
          
        VD->overwriteType(ErrorType::get(context));
        VD->setInvalid();
      }"
9,apple_swift,https://github.com/apple/swift/commit/0a1f7c09dfc4af6b856b45058d20118039ef1b4d,https://github.com/apple/swift/commit/e517ad91828ae7e552a4fb3dbb9ac28833d76091,"Revert ""Fix unreachable code handling to properly diagnose things like:""

This reverts commit 28678.  It broke the IDE/complete_exception.swift
test.

Swift SVN r28679
","Fix unreachable code handling to properly diagnose things like:  

throw x 
whatever()  

as being unreachable after the throw.



Swift SVN r28680
",,0a1f7c09dfc4af6b856b45058d20118039ef1b4d,lib/Parse/ParseStmt.cpp,"(650, 3)",lib/Parse/ParseStmt.cpp,"(90, 3)",e517ad91828ae7e552a4fb3dbb9ac28833d76091,lib/Parse/ParseStmt.cpp,"(90, 28)",lib/Parse/ParseStmt.cpp,,SourceLoc throwLoc = consumeToken(tok::kw_throw);,"auto parseTopLevelExpr = [&](Diag<> ID) {
    return (Tok.is(tok::kw_throw) ? parseExprThrow(ID) : parseExpr(ID));
  };","[&](Diag<> ID) {
    return (Tok.is(tok::kw_throw) ? parseExprThrow(ID) : parseExpr(ID));
  }"
